NAME_1,NAME_2,fips,fips_state,fips_county
California,Plumas,06063,6,63
California,El Dorado,06017,6,17
California,Alpine,06003,6,3
California,Amador,06005,6,5
California,Shasta,06089,6,89
California,Siskiyou,06093,6,93
North Carolina,Transylvania,37175,37,175
North Carolina,Macon,37113,37,113
North Carolina,Caldwell,37027,37,27
California,Humboldt,06023,6,23
California,Los Angeles,06037,6,37
California,Mono,06051,6,51
California,Riverside,06065,6,65
California,Fresno,06019,6,19
California,Kern,06029,6,29
California,Ventura,06111,6,111
California,Monterey,06053,6,53
California,Tuolumne,06109,6,109
California,Santa Barbara,06083,6,83
California,San Luis Obispo,06079,6,79
California,San Bernardino,06071,6,71
California,Tulare,06107,6,107
California,San Diego,06073,6,73
Florida,Marion,12083,12,83
California,Lake,06033,6,33
California,Lassen,06035,6,35
California,Tehama,06103,6,103
California,Butte,06007,6,7
Florida,Wakulla,12129,12,129
California,Sierra,06091,6,91
Florida,Leon,12073,12,73
Florida,Putnam,12107,12,107
Florida,Lake,12069,12,69
California,Placer,06061,6,61
California,Modoc,06049,6,49
California,Trinity,06105,6,105
Florida,Columbia,12023,12,23
Florida,Baker,12003,12,3
California,Inyo,06027,6,27
North Carolina,Swain,37173,37,173
California,Nevada,06057,6,57
California,Del Norte,06015,6,15
California,Yuba,06115,6,115
California,Mendocino,06045,6,45
California,Glenn,06021,6,21
California,Mariposa,06043,6,43
North Carolina,Craven,37049,37,49
California,Calaveras,06009,6,9
Florida,Gadsden,12039,12,39
North Carolina,Burke,37023,37,23
Georgia,Murray,13213,13,213
Georgia,Gordon,13129,13,129
Georgia,Whitfield,13313,13,313
Georgia,Union,13291,13,291
Georgia,Greene,13133,13,133
Georgia,Putnam,13237,13,237
Georgia,White,13311,13,311
Georgia,Habersham,13137,13,137
Georgia,Rabun,13241,13,241
Georgia,Floyd,13115,13,115
Florida,Liberty,12077,12,77
California,Madera,06039,6,39
North Carolina,Cherokee,37039,37,39
North Carolina,Jackson,37099,37,99
North Carolina,Clay,37043,37,43
Georgia,Chattooga,13055,13,55
Georgia,Walker,13295,13,295
Georgia,Fannin,13111,13,111
Georgia,Lumpkin,13187,13,187
Georgia,Stephens,13257,13,257
North Carolina,Buncombe,37021,37,21
North Carolina,Haywood,37087,37,87
North Carolina,Yancey,37199,37,199
North Carolina,McDowell,37111,37,111
North Carolina,Montgomery,37123,37,123
North Carolina,Polk,37149,37,149
Mississippi,Perry,28111,28,111
Mississippi,Newton,28101,28,101
Mississippi,Harrison,28047,28,47
Mississippi,Jackson,28059,28,59
Mississippi,Forrest,28035,28,35
Mississippi,Stone,28131,28,131
Mississippi,George,28039,28,39
Mississippi,Pearl River,28109,28,109
Mississippi,Yalobusha,28161,28,161
Mississippi,Wayne,28153,28,153
Mississippi,Scott,28123,28,123
Mississippi,Franklin,28037,28,37
Mississippi,Wilkinson,28157,28,157
Mississippi,Amite,28005,28,5
Mississippi,Greene,28041,28,41
Mississippi,Jones,28067,28,67
Mississippi,Smith,28129,28,129
Mississippi,Lamar,28073,28,73
Florida,Volusia,12127,12,127
North Carolina,Randolph,37151,37,151
Mississippi,Hancock,28045,28,45
North Carolina,Madison,37115,37,115
Florida,Polk,12105,12,105
Florida,Clay,12019,12,19
Florida,Franklin,12037,12,37
Georgia,Jasper,13159,13,159
North Carolina,Henderson,37089,37,89
Georgia,Gilmer,13123,13,123
Florida,Duval,12031,12,31
California,Colusa,06011,6,11
Georgia,Richmond,13245,13,245
Mississippi,Tippah,28139,28,139
Mississippi,Tishomingo,28141,28,141
Mississippi,Jasper,28061,28,61
North Carolina,Mitchell,37121,37,121
North Carolina,Jones,37103,37,103
Georgia,Baldwin,13009,13,9
Georgia,Jones,13169,13,169
Florida,Hamilton,12047,12,47
Mississippi,Marion,28091,28,91
California,Santa Clara,06085,6,85
North Carolina,Onslow,37133,37,133
Mississippi,Copiah,28029,28,29
Mississippi,Lincoln,28085,28,85
Mississippi,Winston,28159,28,159
Georgia,Dawson,13085,13,85
Georgia,Banks,13011,13,11
Georgia,Bartow,13015,13,15
Georgia,Burke,13033,13,33
Florida,Broward,12011,12,11
Florida,Hendry,12051,12,51
Florida,Glades,12043,12,43
Florida,Collier,12021,12,21
Florida,Palm Beach,12099,12,99
Mississippi,Neshoba,28099,28,99
Mississippi,Leake,28079,28,79
Mississippi,Madison,28089,28,89
California,Imperial,06025,6,25
California,Stanislaus,06099,6,99
California,Alameda,06001,6,1
California,San Benito,06069,6,69
California,Merced,06047,6,47
California,Contra Costa,06013,6,13
California,Sacramento,06067,6,67
California,Santa Cruz,06087,6,87
California,Yolo,06113,6,113
California,Solano,06095,6,95
California,Sonoma,06097,6,97
California,Napa,06055,6,55
Florida,Miami-Dade,12086,12,86
Florida,St Johns,12109,12,109
Florida,Brevard,12009,12,9
Florida,Escambia,12033,12,33
Florida,Santa Rosa,12113,12,113
Georgia,Macon,13193,13,193
