"","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","geometry"
"1","72","045","01804502","72045","Comer<ed>o","Comer<ed>o Municipio","13","H1","G4020","490","41980",NA,"A",73557132,319735,"+18.2250402","-066.2202984",c(-66.2185465196764, 18.224966)
"2","72","009","01804484","72009","Aibonito","Aibonito Municipio","13","H1","G4020","490","41980",NA,"A",81094444,71897,"+18.1306472","-066.2639743",c(-66.269345802356, 18.1281515)
"3","72","039","01804499","72039","Ciales","Ciales Municipio","13","H1","G4020","490","41980",NA,"A",172309964,459615,"+18.2912286","-066.5130169",c(-66.508082558865, 18.263729)
"4","72","003","01804481","72003","Aguada","Aguada Municipio","13","H1","G4020",NA,"10380",NA,"A",79904253,38043835,"+18.3756809","-067.1837074",c(-67.1846536151924, 18.3774625)
"5","72","151","01804556","72151","Yabucoa","Yabucoa Municipio","13","H1","G4020","490","41980",NA,"A",143005203,72593008,"+18.0598615","-065.8598555",c(-65.8479650475753, 18.0458345)
"6","72","029","01804494","72029","Can<f3>vanas","Can<f3>vanas Municipio","13","H1","G4020","490","41980",NA,"A",85120141,364682,"+18.3235851","-065.8832059",c(-65.8874736340206, 18.333222)
"7","72","037","01804498","72037","Ceiba","Ceiba Municipio","13","H1","G4020","490","21940",NA,"A",75201051,336178778,"+18.2737491","-065.5308947",c(-65.6055507919213, 18.2648255)
"8","33","005","00873176","33005","Cheshire","Cheshire County","06","H1","G4020",NA,"28300",NA,"A",1830241632,58115490,"+42.9254553","-072.2482169",c(-72.2973096329312, 42.947028)
"9","38","083","01034203","38083","Sheridan","Sheridan County","06","H1","G4020",NA,NA,NA,"A",2518451213,86143155,"+47.5813594","-100.3309858",c(-100.35307106782, 47.5811575)
"10","38","059","01034207","38059","Morton","Morton County","06","H1","G4020",NA,"13900",NA,"A",4989017094,49666820,"+46.7137894","-101.2797430",c(-101.189858375936, 46.6338245)
"11","38","047","01035620","38047","Logan","Logan County","06","H1","G4020",NA,NA,NA,"A",2571385604,47715597,"+46.4692780","-099.5045846",c(-99.4769677908217, 46.457688)
"12","38","027","01034222","38027","Eddy","Eddy County","06","H1","G4020",NA,NA,NA,"A",1632134236,36114074,"+47.7234355","-098.9004745",c(-98.911433493273, 47.7173885)
"13","38","065","01034205","38065","Oliver","Oliver County","06","H1","G4020",NA,NA,NA,"A",1871294001,22476243,"+47.1180789","-101.3314198",c(-101.354503520388, 47.138492)
"14","22","127","00559594","22127","Winn","Winn Parish","15","H1","G4020",NA,NA,NA,"A",2460712063,17448035,"+31.9411871","-092.6412694",c(-92.6003985812998, 31.9287505)
"15","22","089","01629449","22089","St. Charles","St. Charles Parish","15","H1","G4020","406","35380",NA,"A",722820577,340703015,"+29.9138333","-090.3593144",c(-90.4100107551332, 29.9611445)
"16","12","039","00306918","12039","Gadsden","Gadsden County","06","H1","G4020",NA,"45220",NA,"A",1337292978,31587824,"+30.5791695","-084.6127832",c(-84.6355260955056, 30.5495205)
"17","51","640","01498426","51640","Galax","Galax city","25","C7","G4020",NA,NA,NA,"F",21340448,103781,"+36.6656397","-080.9143083",c(-80.9275181589147, 36.660027)
"18","22","121","00559570","22121","West Baton Rouge","West Baton Rouge Parish","15","H1","G4020","132","12940",NA,"A",498298909,29602062,"+30.4640516","-091.3098080",c(-91.3378047259899, 30.490243)
"19","28","149","00695795","28149","Warren","Warren County","06","H1","G4020",NA,"46980",NA,"A",1524227034,77819899,"+32.3570054","-090.8517913",c(-90.7916328277628, 32.3486115)
"20","37","197","01008597","37197","Yadkin","Yadkin County","06","H1","G4020","268","49180",NA,"A",867203576,6932203,"+36.1587653","-080.6651641",c(-80.6569585877056, 36.16731)
"21","56","011","01605071","56011","Crook","Crook County","06","H1","G4020",NA,NA,NA,"A",7392856774,28200354,"+44.5892657","-104.5672975",c(-104.570775321014, 44.588161)
"22","22","023","00558488","22023","Cameron","Cameron Parish","15","H1","G4020","324","29340",NA,"A",3327842102,1688107777,"+29.8719111","-093.1655225",c(-93.2702911305905, 29.7902555)
"23","22","041","00558557","22041","Franklin","Franklin Parish","15","H1","G4020",NA,NA,NA,"A",1617667718,28107883,"+32.1382785","-091.6721010",c(-91.6997782504039, 32.1388465)
"24","22","057","00558065","22057","Lafourche","Lafourche Parish","15","H1","G4020",NA,"26380",NA,"A",2766662921,1051774702,"+29.4919925","-090.3948490",c(-90.2629008026876, 29.4587705)
"25","29","025","00758467","29025","Caldwell","Caldwell County","06","H1","G4020","312","28140",NA,"A",1104352390,8402356,"+39.6589977","-093.9791785",c(-93.9822279128104, 39.656953)
"26","31","165","00835904","31165","Sioux","Sioux County","06","H1","G4020",NA,NA,NA,"A",5352537337,1872668,"+42.4856749","-103.7440678",c(-103.766736029677, 42.5048225)
"27","46","043","01266978","46043","Douglas","Douglas County","06","H1","G4020",NA,NA,NA,"A",1118361832,4832944,"+43.3915064","-098.3584331",c(-98.3526688799889, 43.346867)
"28","46","137","01266993","46137","Ziebach","Ziebach County","06","H1","G4020",NA,NA,NA,"A",5079669690,24212475,"+44.9816662","-101.6692245",c(-101.568101563868, 44.9915825)
"29","29","055","00758482","29055","Crawford","Crawford County","06","H1","G4020",NA,NA,NA,"A",1923109274,3203505,"+37.9665605","-091.3139328",c(-91.3105833059296, 37.9544555)
"30","25","023","00606938","25023","Plymouth","Plymouth County","06","H1","G4020","148","14460","14484","A",1706996702,1124514317,"+41.9871959","-070.7419417",c(-70.7173777590763, 41.9689365)
"31","29","111","00758510","29111","Lewis","Lewis County","06","H1","G4020",NA,"39500",NA,"A",1308052714,14901503,"+40.0845592","-091.7288031",c(-91.7270024831081, 40.1012845)
"32","29","187","00758548","29187","St. Francois","St. Francois County","06","H1","G4020","476","22100",NA,"A",1170380865,7217209,"+37.8107068","-090.4738684",c(-90.53787347923, 37.858697)
"33","56","027","01605078","56027","Niobrara","Niobrara County","06","H1","G4020",NA,NA,NA,"A",6801423666,4969478,"+43.0621590","-104.4683727",c(-104.47553687498, 43.0561195)
"34","31","043","00835843","31043","Dakota","Dakota County","06","H1","G4020","512","43580",NA,"A",684416203,8199769,"+42.3904564","-096.5625485",c(-96.5708577551015, 42.4008945)
"35","31","161","00835902","31161","Sheridan","Sheridan County","06","H1","G4020",NA,NA,NA,"A",6321832301,74941796,"+42.5070737","-102.3896980",c(-102.419843840929, 42.5019545)
"36","29","083","00758496","29083","Henry","Henry County","06","H1","G4020",NA,NA,NA,"A",1805085378,91639299,"+38.3864909","-093.7926278",c(-93.7916242980713, 38.3836525)
"37","12","037","00306911","12037","Franklin","Franklin County","06","H1","G4020",NA,NA,NA,"A",1384931004,1273675791,"+29.8101756","-084.7991742",c(-84.8031029054572, 29.775396)
"38","31","003","00835824","31003","Antelope","Antelope County","06","H1","G4020",NA,NA,NA,"A",2220183933,3558463,"+42.1832253","-098.0580367",c(-98.0676708530303, 42.1763445)
"39","46","071","01265794","46071","Jackson","Jackson County","06","H1","G4020",NA,NA,NA,"A",4827514470,19097570,"+43.6775056","-101.6263228",c(-101.631232382343, 43.6919855)
"40","29","203","00758554","29203","Shannon","Shannon County","06","H1","G4020",NA,NA,NA,"A",2599881247,464009,"+37.1519796","-091.3983635",c(-91.3443367710478, 37.1519985)
"41","31","065","00835854","31065","Furnas","Furnas County","06","H1","G4020",NA,NA,NA,"A",1862542531,3915843,"+40.1918650","-099.9096631",c(-99.9122466334291, 40.177154)
"42","46","115","01266987","46115","Spink","Spink County","06","H1","G4020",NA,NA,NA,"A",3895148105,15062277,"+44.9310341","-098.3396437",c(-98.3497294099265, 44.9376765)
"43","31","169","00835906","31169","Thayer","Thayer County","06","H1","G4020",NA,NA,NA,"A",1486153336,3025342,"+40.1738446","-097.5962626",c(-97.5949645716544, 40.1761225)
"44","22","033","00558530","22033","East Baton Rouge","East Baton Rouge Parish","15","H6","G4020","132","12940",NA,"B",1179412085,38490937,"+30.5440017","-091.0931740",c(-91.0893875142811, 30.5163245)
"45","22","049","00558592","22049","Jackson","Jackson Parish","15","H1","G4020",NA,"40820",NA,"A",1474178163,28732743,"+32.3044796","-092.5566722",c(-92.5437788572364, 32.321303)
